Country,Year,Total_Energy_GWh,Renewable_Energy_GWh,Renewable_Share_percent,CO2_Emissions_kT,Investment_USD_m
Colombia,2018.0,65000.0,13000,20.0,90000.0,500.0
Brazil,2020.0,600000.0,50000,8.0,400000.0,1200.0
Chile,2021.0,75000.0,15000,20.0,60000.0,400.0
Peru,2018.0,45000.0,9000,20.0,60.0,300.0
Brazil,2023.0,620000.0,186000,30.0,380000.0,100.0
Peru,2021.0,46000.0,9200,19.0,61000.0,310.0
Ecuador,2021.0,51000.0,10200,20.0,51000.0,260.0
Brazil,2019.0,615000.0,184500,30.0,390000.0,1100.0
Chile,2018.0,74000.0,13500,18.0,65000.0,380.0
Argentina,2019.0,54000.0,10000,18.0,81000.0,420.0
Peru,2019.0,45500.0,9100,20.0,62000.0,295.0
